"equipmentID";"equipmentName";"storageID";"numAvailable"
1;"Red Cone";1;20
2;"Small Cone";1;50
3;"Cricket Stump";1;5
5;"Rounders Bat";1;10
6;"Rounder Base";1;25
7;"Rounder Post";1;5
8;"Hockey Stick";1;30
9;"Hockey Ball";1;25
10;"Hoop";1;15
11;"Tennis Racket";1;20
12;"Tennis Ball";1;20
13;"Frisbee";1;3
14;"Football";1;15
15;"Wind Ball";1;20
16;"Bib";1;30
17;"Javelin Stick";1;15
18;"Batons";2;15
19;"Cricket Stump";2;2
20;"Sprint Block";2;3
21;"Volleyball";2;15
22;"Shot-Put Ball";2;20
23;"Badminton Racket";2;15
24;"Boxing Glove (Pair)";2;5
25;"Badminton Pole";3;8
26;"Badminton Base";3;8
27;"Badminton Racket";3;30
28;"Badminton Net";3;5
29;"Badminton Shuttle";3;30
30;"Small Badminton Set";3;5
31;"Table Tennis Table";3;5
32;"Table Tennis Ball";3;30
33;"Hand Ball";3;20
34;"Volleyball Pole";3;4
35;"Volleyball";3;20
36;"Volleyball Net";3;10
37;"Score/Tactics Board";3;5
38;"Basketball Mannequin";3;5
39;"Small Cone";3;40
40;"Dumbbell/Weight/Medicine Ball";3;35
41;"Spot";3;50
42;"Hoop";3;15
43;"Step-Up Stand";3;2
44;"Blue Cone";3;5
45;"Bib";3;30
46;"Small Goal";3;2
47;"Basketball";3;35
48;"Green Mat";3;10
49;"Dodgeball";3;40
50;"Yellow Cone";3;30
51;"Basketball";4;20
52;"Electronic Scoreboard";4;1
53;"Volleyball";4;40
54;"Manual Scoreboard with Stand";4;4
55;"Volleyball Pole";4;4
56;"Volleyball Net";4;3
57;"Badminton Net";4;4
58;"Bib";4;20
59;"Big Blue Mat";4;10
60;"Gymnastics Trapezoid Block";4;10
61;"Badminton Racket";4;40
62;"Thin Blue Mat";4;30
63;"Trampoline";4;4
64;"Badminton Shuttle";4;70
65;"Balance Disc";4;30
66;"Hoop";4;30
67;"Soft Volleyball";4;20
68;"Small Ball (Pink/Blue)";4;40
69;"Step-Up Stand";4;35
70;"Blue Cone";4;10
71;"Big Cone";4;10
72;"Small Cone";4;90
73;"Cricket Stump";4;5
74;"Rugby Ball";5;20
75;"Net Ball";5;15
76;"Size 4 Football";5;30
77;"Size 5 Football";5;10
78;"Small Cone";5;50
79;"Rugby Tackle Pad";5;6
80;"Tag Rugby Belt";5;10
81;"Bib";5;32
82;"Cricket bat";1;10
